	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
0	CHEMBL3087498	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O	IQCKJUKAQJINMK-HUBRGWSESA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
1	CHEMBL2171169	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	MTLMDZJUGDUTCP-PTGPVQHPSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
2	CHEMBL83747	O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O	O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O	LMAFSGDNHVBIHU-XUIWWLCJSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
3	CHEMBL4215326	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	IQRVFHPCSDGBCR-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
4	CHEMBL1201129	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	XAUDJQYHKZQPEU-KVQBGUIXSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
5	CHEMBL4208004	COc1cc2c(NCC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NCC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	VMMRDFLDWHFNOX-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
6	CHEMBL4212905	CCc1ccc(-c2cc(NCC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	CCc1ccc(-c2cc(NCC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	PQJVPCANHLGIOZ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
7	CHEMBL418052	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	ZJUKTBDSGOFHSH-WFMPWKQPSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
8	CHEMBL4208010	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCNCC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCNCC1	RUPLHSKMNNTYKA-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
9	CHEMBL4211688	CCc1ccc(-c2cc(NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	CCc1ccc(-c2cc(NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1	JWHZKAWJXRZCOW-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
10	CHEMBL4203133	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCN(C)CC1	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCN(C)CC1	CVJDYZNCQRBDOX-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
11	CHEMBL4215862	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C(C)C)C2	COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C(C)C)C2	SJSJYFGBZRKJLV-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
12	CHEMBL3126646	Cc1cc(Nc2cccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)c2)nc(N)n1	Cc1cc(Nc2cccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)c2)nc(N)n1	GRGNBXUBKBUEDX-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
13	CHEMBL4208812	COc1cc2c(NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	FWEMDGGXZBEQDX-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
14	CHEMBL4163329	COc1cc2c(NC3CCNCC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CCNCC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	QUDNDJNGIQINLE-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
15	CHEMBL4206035	COc1cc2c(NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	UDDYBHJZHUMVFR-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
16	CHEMBL4588797	N#Cc1cn([C@@H]2O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]2O)c2ncnc(N)c12	N#Cc1cn([C@@H]2O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]2O)c2ncnc(N)c12	XLTWYAYAFLGUEQ-OPYVMVOTSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
17	CHEMBL4216593	COc1cc2c(NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	COc1cc2c(NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2	GZZZBNXTINNFPK-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
19	CHEMBL4213346	COc1cc2c(NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCC1CCN(C)CC1	COc1cc2c(NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCC1CCN(C)CC1	HFXPDAPFWXGCAJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
20	CHEMBL4216144	COc1cc2c(NC3CC4(CCN(C)C4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NC3CC4(CCN(C)C4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	RDPYODVIYQQQFZ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
21	CHEMBL4203647	COc1cc2c(NCC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	COc1cc2c(NCC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	ZAWYCUBKBPHGBY-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
