	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
0	CHEMBL1611598	CC(C)(C)N1C(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2C1=O	CC(C)(C)N1C(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2C1=O	REEXYWAJQLPGFJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
1	CHEMBL3931464	CCOc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)cc1	CCOc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccccc2)C3=O)cc1	BRYVVQRZFJXLGF-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
2	CHEMBL1388440	COc1ccc(N2C(=O)c3ccc(C(=O)Nc4ccccc4OC)cc3C2=O)cc1	COc1ccc(N2C(=O)c3ccc(C(=O)Nc4ccccc4OC)cc3C2=O)cc1	CBMFKRPMJGIVED-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
3	CHEMBL3983375	Cc1cc(Br)ccc1NC(=O)c1ccc2c(c1)C(=O)N(CC(C)C)C2=O	Cc1cc(Br)ccc1NC(=O)c1ccc2c(c1)C(=O)N(CC(C)C)C2=O	QXXBRGROXNGEKK-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
4	CHEMBL3903482	Cc1cc(O)ccc1NC(=O)c1ccc2c(c1)C(=O)N(Cc1cccnc1)C2=O	Cc1cc(O)ccc1NC(=O)c1ccc2c(c1)C(=O)N(Cc1cccnc1)C2=O	SVRIUQSUJSUHOS-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
5	CHEMBL1424505	CC(c1ccccc1)N1C(=O)c2ccc(C(=O)Nc3ccc(Br)cc3C(=O)O)cc2C1=O	CC(c1ccccc1)N1C(=O)c2ccc(C(=O)Nc3ccc(Br)cc3C(=O)O)cc2C1=O	WBQXQPVNRFHHAS-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
6	CHEMBL3971712	O=C(Nc1ccc(Br)cc1C(=O)O)c1ccc2c(c1)C(=O)N(c1cc(Cl)ccc1C(=O)O)C2=O	O=C(Nc1ccc(Br)cc1C(=O)O)c1ccc2c(c1)C(=O)N(c1cc(Cl)ccc1C(=O)O)C2=O	KOQVKZLVCXIIRQ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
7	CHEMBL3922548	O=C(O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(Cc2ccco2)C3=O)cc1	O=C(O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(Cc2ccco2)C3=O)cc1	ZEEUOYNUJQOQKR-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
8	CHEMBL2336409	Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1	Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1	QSYLKMKIVWJAAK-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
9	CHEMBL3904558	COCCN1C(=O)c2ccc(C(=O)Nc3ccc(Br)cc3C(=O)O)cc2C1=O	COCCN1C(=O)c2ccc(C(=O)Nc3ccc(Br)cc3C(=O)O)cc2C1=O	UYXVTEFREIABKL-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
10	CHEMBL3936357	CCOc1ccccc1N1C(=O)c2ccc(C(=O)Nc3ccc(Br)cc3C(=O)O)cc2C1=O	CCOc1ccccc1N1C(=O)c2ccc(C(=O)Nc3ccc(Br)cc3C(=O)O)cc2C1=O	WFFUOXFMQPOREX-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
11	CHEMBL3577854	CCNC(=O)NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	CCNC(=O)NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	CACMCLIHCDTJHL-IDTAVKCVSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
12	CHEMBL418052	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	ZJUKTBDSGOFHSH-WFMPWKQPSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
13	CHEMBL3414632	CC(=O)NCCc1ccc(O)c(-c2cc3c(c(O)c2O)C(=O)c2cc(O)c(C(=O)O)c(C(=O)O)c2C3=O)c1	CC(=O)NCCc1ccc(O)c(-c2cc3c(c(O)c2O)C(=O)c2cc(O)c(C(=O)O)c(C(=O)O)c2C3=O)c1	OLEDPXIGUWUDBM-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
