"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL560106";"";"0";"430.87";"1";"-0.77";"1b";"Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O";"IC50";"'='";"1900.0";"nM";"5.72";"";"";"UO_0000065";"13.28";"0.28";"6.49";"3.39";"False";"CHEMBL1036445";"Inhibition of human recombinant DNMT3b2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL555257";"";"0";"576.68";"2";"2.32";"7a";"O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)ncnc43)[C@H](O)[C@@H]2O)CN1";"IC50";"'='";"260.0";"nM";"6.58";"";"";"UO_0000065";"11.42";"0.22";"4.27";"4.26";"False";"CHEMBL1036445";"Inhibition of human recombinant DNMT3b2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL560768";"";"0";"567.12";"1";"3.52";"7d";"O[C@@H]1[C@@H](CS[C@H]2CCNC2)O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)[C@@H]1O";"IC50";"'='";"27000.0";"nM";"4.57";"";"";"UO_0000065";"8.06";"0.16";"1.05";"3.89";"False";"CHEMBL1036445";"Inhibition of human recombinant DNMT3b2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL563803";"";"0";"395.45";"1";"-2.02";"1g";"NC(=O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CN1";"Inhibition";"'='";"42.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1036447";"Inhibition of human recombinant DNMT3b2 at 45 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL559710";"";"0";"366.45";"0";"-0.49";"9b";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC2CCNCC2)[C@@H](O)[C@H]1O";"Inhibition";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1036447";"Inhibition of human recombinant DNMT3b2 at 45 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL3577854";"";"0";"397.46";"0";"-0.92";"DS-437";"CCNC(=O)NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3578934";"Inhibition of human full length DNMT3B expressed in Sf9 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3576805";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2015";"CHEMBL3308860";""
"CHEMBL4644275";"";"0";"319.31";"0";"2.05";"19";"O=C(Cc1c(F)cccc1F)NCCC(=O)Nc1ccncc1";"IC50";"'='";"80000.0";"nM";"4.10";"";"";"UO_0000065";"12.83";"0.24";"2.05";"5.76";"False";"CHEMBL4606697";"Inhibition of human recombinant DNMT3B expressed in baculovirus infected insect cells using CpG site containing internally quenched hairpin oligonucleotide DNA substrate and SAM incubated for 30 mins by kinetic fluorogenic assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4602737";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";""
"CHEMBL4638518";"";"0";"407.52";"1";"5.91";"29c";"CN(Cc1ccc2[nH]ccc2c1)C(=O)CCc1cccc(-c2cc3ccccc3[nH]2)c1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4606697";"Inhibition of human recombinant DNMT3B expressed in baculovirus infected insect cells using CpG site containing internally quenched hairpin oligonucleotide DNA substrate and SAM incubated for 30 mins by kinetic fluorogenic assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4602737";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";""
"CHEMBL4645141";"";"0";"460.52";"0";"2.49";"33h";"CN(Cc1nc2ccsc2c(=O)[nH]1)C(=O)CCc1cccc(-c2nc3c(N)ncnc3[nH]2)c1";"IC50";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"11.07";"0.21";"2.61";"3.48";"False";"CHEMBL4606697";"Inhibition of human recombinant DNMT3B expressed in baculovirus infected insect cells using CpG site containing internally quenched hairpin oligonucleotide DNA substrate and SAM incubated for 30 mins by kinetic fluorogenic assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4602737";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";""
"CHEMBL2106789";"NANAFROCIN";"0";"302.28";"0";"1.72";"Nanaomycin A";"C[C@@H]1O[C@@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O";"IC50";"'='";"730.0";"nM";"6.14";"";"";"UO_0000065";"20.30";"0.38";"4.42";"6.08";"False";"CHEMBL4606699";"Inhibition of human recombinant DNMT3B expressed in baculovirus infected insect cells by DRONE assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4602737";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";""
"CHEMBL4641323";"";"0";"397.46";"0";"3.57";"16";"Cc1nccc(-c2cccc(NS(=O)(=O)c3cc(C(=O)O)cc(C)c3C)c2)n1";"IC50";"'='";"70400.0";"nM";"4.15";"";"";"UO_0000065";"10.45";"0.20";"0.58";"3.80";"False";"CHEMBL4606697";"Inhibition of human recombinant DNMT3B expressed in baculovirus infected insect cells using CpG site containing internally quenched hairpin oligonucleotide DNA substrate and SAM incubated for 30 mins by kinetic fluorogenic assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4602737";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";""
"CHEMBL418052";"S-ADENOSYLHOMOCYSTEINE";"0";"384.42";"1";"-1.44";"SAH";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3578934";"Inhibition of human full length DNMT3B expressed in Sf9 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3576805";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2015";"CHEMBL3308860";""
"CHEMBL551499";"";"0";"366.45";"0";"-0.49";"9a";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCCNC2)[C@@H](O)[C@H]1O";"Inhibition";"'='";"51.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1036447";"Inhibition of human recombinant DNMT3b2 at 45 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL551787";"";"0";"410.46";"1";"-1.03";"8b";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CCN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O";"IC50";"'='";"39000.0";"nM";"4.41";"";"";"UO_0000065";"10.74";"0.22";"5.44";"2.61";"False";"CHEMBL1036445";"Inhibition of human recombinant DNMT3b2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL539449";"";"0";"338.39";"0";"-1.27";"12";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC2CNC2)[C@@H](O)[C@H]1O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1036445";"Inhibition of human recombinant DNMT3b2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL555352";"";"0";"564.67";"2";"2.30";"32";"NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O";"IC50";"'='";"600.0";"nM";"6.22";"";"";"UO_0000065";"11.02";"0.21";"3.92";"3.69";"False";"CHEMBL1036409";"Inhibition of human recombinant DNMT3b2 expressed in baculovirus infected high five insect cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151871";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL563888";"";"0";"410.46";"1";"-1.03";"8c";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCN[C@@H](C(=O)O)C2)[C@@H](O)[C@H]1O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1036445";"Inhibition of human recombinant DNMT3b2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL558883";"";"0";"410.46";"1";"-1.08";"1h";"CN1C[C@@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C(O)[C@@H]2O)C[C@H]1C(=O)O";"IC50";"'='";"11000.0";"nM";"4.96";"";"";"UO_0000065";"12.08";"0.24";"6.04";"3.10";"False";"CHEMBL1036445";"Inhibition of human recombinant DNMT3b2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL538627";"";"0";"386.87";"0";"-0.22";"1f";"Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O";"IC50";"'>'";"45000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1036445";"Inhibition of human recombinant DNMT3b2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6095";"DNA (cytosine-5)-methyltransferase 3B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151876";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
