	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
0	CHEMBL560106	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	XYVFEOCPVYQHOJ-SQGKICNMSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
1	CHEMBL555257	O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)ncnc43)[C@H](O)[C@@H]2O)CN1	O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)ncnc43)[C@H](O)[C@@H]2O)CN1	IEFYFVPAOMYINX-OGFANMSHSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
2	CHEMBL560768	O[C@@H]1[C@@H](CS[C@H]2CCNC2)O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)[C@@H]1O	O[C@@H]1[C@@H](CS[C@H]2CCNC2)O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)[C@@H]1O	AEYTZFNTFJDEFK-UXSDZZPMSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
3	CHEMBL563803	NC(=O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CN1	NC(=O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CN1	YCTQPGZPXGWTNT-RILBKXJMSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
4	CHEMBL559710	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC2CCNCC2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC2CCNCC2)[C@@H](O)[C@H]1O	KZOQGNPMCPKYIE-SDBHATRESA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
5	CHEMBL3577854	CCNC(=O)NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	CCNC(=O)NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	CACMCLIHCDTJHL-IDTAVKCVSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
6	CHEMBL4644275	O=C(Cc1c(F)cccc1F)NCCC(=O)Nc1ccncc1	O=C(Cc1c(F)cccc1F)NCCC(=O)Nc1ccncc1	KCEUIAXXQZVSHS-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
7	CHEMBL4638518	CN(Cc1ccc2[nH]ccc2c1)C(=O)CCc1cccc(-c2cc3ccccc3[nH]2)c1	CN(Cc1ccc2[nH]ccc2c1)C(=O)CCc1cccc(-c2cc3ccccc3[nH]2)c1	JMMZMLKAVKOMEC-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
8	CHEMBL4645141	CN(Cc1nc2ccsc2c(=O)[nH]1)C(=O)CCc1cccc(-c2nc3c(N)ncnc3[nH]2)c1	CN(Cc1nc2ccsc2c(=O)[nH]1)C(=O)CCc1cccc(-c2nc3c(N)ncnc3[nH]2)c1	KFCAZHLXPKTXBJ-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
9	CHEMBL2106789	C[C@@H]1O[C@@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O	C[C@@H]1O[C@@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O	ZCJHPTKRISJQTN-JGVFFNPUSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
10	CHEMBL4641323	Cc1nccc(-c2cccc(NS(=O)(=O)c3cc(C(=O)O)cc(C)c3C)c2)n1	Cc1nccc(-c2cccc(NS(=O)(=O)c3cc(C(=O)O)cc(C)c3C)c2)n1	RWKQAXISWXAPMT-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
11	CHEMBL418052	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	ZJUKTBDSGOFHSH-WFMPWKQPSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
12	CHEMBL551499	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCCNC2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCCNC2)[C@@H](O)[C@H]1O	BQYCAPMDPQOIEB-OPYVMVOTSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
13	CHEMBL551787	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CCN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CCN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O	PPAKVYRRHNXOLG-CYZRSLADSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
14	CHEMBL539449	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC2CNC2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC2CNC2)[C@@H](O)[C@H]1O	BULDRNZDSMLACQ-QYVSTXNMSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
15	CHEMBL555352	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	WZMUJUUYKWVGEE-FOYDDCNASA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
