Algorithm,Version,Balanced Accuracy,Sensitivity,Specificity,True Positives,False Positives,F-measure,AUC
Random Forest,Max,0.81,0.88,0.74,5.0,1.6,0.82,0.81
Random Forest,Mean,0.88,0.9,0.86,4.8,0.9,0.87,0.88
Support Vector Machines,Max,0.81,0.86,0.76,4.9,1.5,0.81,0.81
Support Vector Machines,Mean,0.88,0.88,0.87,4.7,0.8,0.87,0.88
Naive Bayes,Max,0.78,0.82,0.74,4.7,1.6,0.78,0.78
Naive Bayes,Mean,0.85,0.91,0.8,4.8,1.3,0.85,0.85
XGradientBoostTree,Max,0.79,0.85,0.73,4.9,1.7,0.79,0.79
XGradientBoostTree,Mean,0.86,0.86,0.86,4.6,0.9,0.85,0.86
Artificial Neural Network,Max,0.8,0.84,0.76,4.8,1.5,0.8,0.8
Artificial Neural Network,Mean,0.85,0.91,0.8,4.8,1.3,0.85,0.85
