PubChem ID,Activity,Dice Similarity,Tanimoto Similarity
44257811,0,,
5280804,0,,
443650,0,,
5280459,0,,
4481259,0,,
91820114,0,,
6476333,0,,
5382105,0,,
10621,0,,
5280637,0,,
5281798,0,,
128853,0,,
5281800,0,,
5282152,0,,
11294177,0,,
12304093,0,,
442664,0,,
5281778,0,,
10009317,0,,
12309272,0,,
5490298,0,,
6476723,0,,
234817,0,,
5280805,0,,
10736226,0,,
6441894,0,,
6440999,0,,
102461561,0,,
5319116,0,,
44258093,0,,
6450302,0,,
73399,0,,
5281792,0,,
6440747,0,,
5281544,0,,
1794427,0,,
5281612,0,,
5280445,0,,
49852298,0,,
5280666,0,,
5280343,0,,
90657147,0,,
14136859,0,,
17750970,0,,
5280443,0,,
5281761,0,,
637584,0,,
102016333,0,,
439514,0,,
3010930,0,,
5317284,0,,
439155,0,CHEMBL552309-0.8411214953271028; CHEMBL560306-0.8135593220338984; CHEMBL551100-0.7169811320754716; CHEMBL560165-0.8392857142857143; CHEMBL418052-1.0; CHEMBL551167-0.7130434782608696; CHEMBL558882-0.8703703703703703; CHEMBL563782-0.7476635514018691; CHEMBL560505-0.7868852459016393; CHEMBL563024-0.8135593220338984; CHEMBL563946-0.8598130841121495; CHEMBL551578-0.7017543859649122; CHEMBL4588797-0.8035714285714286; CHEMBL556265-0.8275862068965517; CHEMBL550440-0.7256637168141593; CHEMBL539449-0.7450980392156863; CHEMBL560045-0.8623853211009175; CHEMBL563938-0.8484848484848485; CHEMBL555352-0.7868852459016393; CHEMBL561047-0.8411214953271028; CHEMBL552763-0.704; CHEMBL552246-0.8490566037735849; CHEMBL559281-0.7238095238095238; CHEMBL2349526-0.8256880733944955; CHEMBL538692-0.8623853211009175; CHEMBL562689-0.7476635514018691; CHEMBL564768-0.8623853211009175; CHEMBL560105-0.8; CHEMBL564052-0.7169811320754716; ,CHEMBL552309-0.7258064516129032; CHEMBL560165-0.7230769230769231; CHEMBL418052-1.0; CHEMBL558882-0.7704918032786885; CHEMBL563946-0.7540983606557377; CHEMBL556265-0.7058823529411765; CHEMBL560045-0.7580645161290323; CHEMBL563938-0.7368421052631579; CHEMBL561047-0.7258064516129032; CHEMBL552246-0.7377049180327869; CHEMBL2349526-0.703125; CHEMBL538692-0.7580645161290323; CHEMBL564768-0.7580645161290323; 
5281417,0,,
72281,0,,
128861,0,,
101109285,0,,
6476722,0,,
101042548,0,,
56842347,0,,
131750845,0,,
5273570,0,,
3084796,0,,
89640,0,,
71718370,0,,
14136854,0,,
439612,0,,
14521044,0,,
161276,0,,
442831,0,,
87691,0,,
159278,0,,
6440397,0,,
14488076,0,,
131750844,0,,
15553186,0,,
11652416,0,,
72,0,,
3469,0,,
6508,0,,
155240,0,,
637541,0,,
637540,0,,
689043,0,,
1491,0,,
91528,0,,
8468,0,,
370,0,,
16681728,0,,
637775,0,,
5281416,0,,
637542,0,,
8742,0,,
7121,0,,
5280460,0,,
853433,0,,
9338,0,,
445858,0,,
446874,0,,
82755,0,,
780,0,,
11195402,0,,
62465,0,,
547,0,,
135,0,,
332,0,,
10394,0,,
1738,0,,
127,0,,
10742,0,,
16928,0,,
9958,0,,
15109,0,,
444539,0,,
169607,0,,
151276,0,,
8655,0,,
8357,0,,
7139,0,,
10393,0,,
289,0,,
62453,0,,
342,0,,
126,0,,
460,0,,
31242,0,,
335,0,,
2879,0,,
996,0,,
