Algorithm,Version,Balanced Accuracy,Sensitivity,Specificity,True Positives Ratio,False Positives Ratio,F-measure,AUC
Random Forest,Max,0.89,0.85,0.93,0.79,0.21,0.81,0.89
Random Forest,Mean,0.91,0.87,0.95,0.84,0.16,0.85,0.91
Support Vector Machines,Max,0.89,0.86,0.93,0.79,0.21,0.81,0.89
Support Vector Machines,Mean,0.9,0.85,0.94,0.82,0.18,0.82,0.9
Naive Bayes,Max,0.87,0.8,0.93,0.77,0.23,0.78,0.87
Naive Bayes,Mean,0.89,0.85,0.93,0.78,0.22,0.8,0.89
XGradientBoostTree,Max,0.87,0.8,0.94,0.82,0.18,0.8,0.87
XGradientBoostTree,Mean,0.88,0.82,0.95,0.82,0.18,0.81,0.88
Artificial Neural Network,Max,0.87,0.8,0.93,0.78,0.22,0.78,0.87
Artificial Neural Network,Mean,0.9,0.85,0.94,0.81,0.19,0.83,0.9
