Algorithm,Version,Balanced Accuracy,Sensitivity,Specificity,True Positives Ratio,False Positives Ratio,F-measure,AUC
Random Forest,Max,0.82,0.81,0.84,0.84,0.16,0.82,0.82
Random Forest,Mean,0.83,0.83,0.84,0.81,0.19,0.81,0.83
Support Vector Machines,Max,0.82,0.82,0.81,0.82,0.18,0.81,0.82
Support Vector Machines,Mean,0.82,0.79,0.85,0.82,0.18,0.79,0.82
Naive Bayes,Max,0.81,0.82,0.79,0.8,0.2,0.8,0.81
Naive Bayes,Mean,0.8,0.83,0.77,0.76,0.24,0.79,0.8
XGradientBoostTree,Max,0.83,0.86,0.8,0.81,0.18,0.83,0.83
XGradientBoostTree,Mean,0.81,0.79,0.82,0.8,0.2,0.79,0.81
Artificial Neural Network,Max,0.82,0.84,0.8,0.8,0.2,0.82,0.82
Artificial Neural Network,Mean,0.8,0.81,0.8,0.78,0.22,0.78,0.8
